id,therapist_name,gender,modality,language,available_days,mode,experience_years,specialties
1,Dr. Abebe Tesfaye,Male,Cognitive Behavioral Therapy (CBT),['Amharic'],"['Tuesday', 'Thursday', 'Saturday', 'Wednesday', 'Friday']","['Video', 'Audio']",5,"['Test Anxiety', 'BPD', 'Financial Stress']"
2,Dr. Abeba Girma,Female,Gestalt Therapy,['English'],"['Friday', 'Monday', 'Saturday', 'Tuesday', 'Wednesday']","['Audio', 'Video']",4,"['PTSD', 'Self-Esteem Issues', 'Suicidal Ideation']"
3,Dr. Abdi Worku,Male,Schema Therapy,['Amharic'],"['Thursday', 'Sunday', 'Friday', 'Tuesday', 'Saturday']","['Audio', 'Video']",17,"['Test Anxiety', 'Sleep Disorders', 'Self-Esteem Issues']"
4,Dr. Abdulahi Kebede,Female,Cognitive Analytic Therapy (CAT),['Oromo'],"['Wednesday', 'Sunday', 'Monday', 'Thursday', 'Tuesday']","['Audio', 'Video']",14,"['Panic Disorders', 'ADHD', 'Generalized Anxiety Disorder (GAD)']"
5,Dr. Abera Demissie,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Oromo'],"['Saturday', 'Wednesday', 'Monday', 'Thursday', 'Tuesday']","['Audio', 'Video']",5,"['Social Anxiety', 'ADHD', 'Relationships']"
6,Dr. Abiy Hailu,Female,Narrative Therapy,['Tigrinya'],"['Monday', 'Saturday', 'Sunday', 'Thursday', 'Friday']","['Audio', 'Video']",13,"['OCD', 'Social Anxiety', 'Somatic Complaints']"
7,Dr. Adane Fekadu,Male,Solution-Focused Brief Therapy (SFBT),['Oromo'],"['Saturday', 'Thursday', 'Tuesday', 'Monday', 'Friday']","['Video', 'Audio']",17,"['Financial Stress', 'Somatic Complaints', 'ADHD']"
8,Dr. Adugna Assefa,Male,Cognitive Behavioral Therapy (CBT),['Amharic'],"['Friday', 'Tuesday', 'Thursday', 'Monday', 'Sunday']","['Video', 'Audio']",14,"['PTSD', 'Eating Disorders', 'Adjustment Disorders']"
9,Dr. Alem Getachew,Female,Adlerian Therapy,['English'],"['Saturday', 'Thursday', 'Tuesday', 'Monday', 'Sunday']","['Audio', 'Video']",15,"['Relationships', 'Depression', 'Loneliness']"
10,Dr. Alemayehu Berhanu,Male,Integrative Counselling,['English'],"['Monday', 'Friday', 'Sunday', 'Thursday', 'Tuesday']","['Audio', 'Video']",4,"['Adjustment Disorders', 'Loneliness', 'Trauma']"
11,Dr. Almaz Mohammed,Female,Humanistic Therapy,['Tigrinya'],"['Monday', 'Sunday', 'Wednesday', 'Friday', 'Thursday']","['Video', 'Audio']",11,"['Grief and Loss', 'Test Anxiety', 'Stress']"
12,Dr. Amanuel Tadesse,Female,Psychoanalysis,['Amharic'],"['Tuesday', 'Wednesday', 'Sunday', 'Monday', 'Friday']","['Video', 'Audio']",19,"['Self-Esteem Issues', 'Social Anxiety', 'Interpersonal Violence']"
13,Dr. Amina Ali,Male,Emotionally Focused Therapy (EFT),['Oromo'],"['Saturday', 'Sunday', 'Friday', 'Monday', 'Wednesday']","['Audio', 'Video']",18,"['Relationships', 'Cultural Identity Stress', 'Grief and Loss']"
14,Dr. Asfaw Ahmed,Male,Schema Therapy,['Amharic'],"['Wednesday', 'Saturday', 'Tuesday', 'Monday', 'Friday']","['Audio', 'Video']",14,"['Suicidal Ideation', 'Substance Use', 'Panic Disorders']"
15,Dr. Asmare Hassen,Female,Psychodynamic Psychotherapy,['Oromo'],"['Sunday', 'Monday', 'Thursday', 'Tuesday', 'Saturday']","['Video', 'Audio']",9,"['Family Conflict', 'Loneliness', 'Family Conflict']"
16,Dr. Aster Abdullahi,Male,Integrative Counselling,['Oromo'],"['Monday', 'Thursday', 'Saturday', 'Tuesday', 'Friday']","['Audio', 'Video']",6,"['Generalized Anxiety Disorder (GAD)', 'Grief and Loss', 'Test Anxiety']"
17,Dr. Atsede Ibrahim,Male,Psychoanalysis,['Tigrinya'],"['Monday', 'Wednesday', 'Tuesday', 'Sunday', 'Friday']","['Audio', 'Video']",1,"['Generalized Anxiety Disorder (GAD)', 'OCD', 'Sleep Disorders']"
18,Dr. Ayele Gebre,Male,Jungian Therapy,['Oromo'],"['Thursday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday']","['Audio', 'Video']",19,"['Stress', 'Suicidal Ideation', 'Loneliness']"
19,Dr. Aynalem Mekonnen,Male,Solution-Focused Brief Therapy (SFBT),['English'],"['Monday', 'Saturday', 'Friday', 'Tuesday', 'Sunday']","['Audio', 'Video']",19,"['Panic Disorders', 'Test Anxiety', 'Financial Stress']"
20,Dr. Belay Abebe,Female,Schema Therapy,['English'],"['Friday', 'Tuesday', 'Wednesday', 'Sunday', 'Monday']","['Video', 'Audio']",16,"['Self-Esteem Issues', 'Family Conflict', 'Substance Use']"
21,Dr. Bereket Ke/bede,Female,Existential Psychotherapy,['Amharic'],"['Saturday', 'Tuesday', 'Thursday', 'Friday', 'Wednesday']","['Video', 'Audio']",19,"['Self-Esteem Issues', 'Academic Burnout', 'Sleep Disorders']"
22,Dr. Berhanu Demissie,Female,Transactional Analysis (TA),['Amharic'],"['Friday', 'Sunday', 'Thursday', 'Monday', 'Saturday']","['Audio', 'Video']",9,"['BPD', 'Panic Disorders', 'Adjustment Disorders']"
23,Dr. Betelhem Worku,Female,Humanistic Therapy,['Oromo'],"['Saturday', 'Friday', 'Sunday', 'Thursday', 'Monday']","['Audio', 'Video']",14,"['Sleep Disorders', 'Mood Disorders', 'Loneliness']"
24,Dr. Beyene Girma,Male,Existential Psychotherapy,['Oromo'],"['Tuesday', 'Thursday', 'Saturday', 'Wednesday', 'Sunday']","['Audio', 'Video']",19,"['Generalized Anxiety Disorder (GAD)', 'Financial Stress', 'Loneliness']"
25,Dr. Biftu Tesfaye,Male,Emotionally Focused Therapy (EFT),['Tigrinya'],"['Wednesday', 'Monday', 'Saturday', 'Sunday', 'Thursday']","['Video', 'Audio']",17,"['Suicidal Ideation', 'Interpersonal Violence', 'Suicidal Ideation']"
26,Dr. Birhan Hailu,Male,Psychoanalysis,['Tigrinya'],"['Sunday', 'Saturday', 'Friday', 'Monday', 'Thursday']","['Audio', 'Video']",13,"['Suicidal Ideation', 'Trauma', 'Grief and Loss']"
27,Dr. Biruk Fekadu,Female,Cognitive Therapy,['Oromo'],"['Friday', 'Thursday', 'Tuesday', 'Sunday', 'Wednesday']","['Audio', 'Video']",13,"['Academic Burnout', 'Financial Stress', 'Anxiety']"
28,Dr. Bizuayehu Assefa,Male,Emotionally Focused Therapy (EFT),['Oromo'],"['Saturday', 'Tuesday', 'Thursday', 'Monday', 'Sunday']","['Video', 'Audio']",11,"['BPD', 'Trauma', 'Mood Disorders']"
29,Dr. Chaltu Getachew,Female,Adlerian Therapy,['English'],"['Friday', 'Saturday', 'Sunday', 'Thursday', 'Wednesday']","['Audio', 'Video']",14,"['Suicidal Ideation', 'Adjustment Disorders', 'Stress']"
30,Dr. Dagim Berhanu,Female,Schema Therapy,['English'],"['Thursday', 'Sunday', 'Monday', 'Saturday', 'Tuesday']","['Video', 'Audio']",19,"['Eating Disorders', 'Anxiety', 'Financial Stress']"
31,Dr. Dawit Mohammed,Male,Humanistic Therapy,['Amharic'],"['Wednesday', 'Sunday', 'Friday', 'Tuesday', 'Monday']","['Audio', 'Video']",15,"['BPD', 'ADHD', 'Panic Disorders']"
32,Dr. Dejene Tadesse,Female,Transactional Analysis (TA),['Tigrinya'],"['Thursday', 'Sunday', 'Monday', 'Friday', 'Saturday']","['Video', 'Audio']",8,"['BPD', 'BPD', 'Relationships']"
33,Dr. Demeke Ali,Female,Integrative Counselling,['Amharic'],"['Thursday', 'Tuesday', 'Wednesday', 'Saturday', 'Sunday']","['Audio', 'Video']",7,"['Mood Disorders', 'OCD', 'Trauma']"
34,Dr. Desta Ahmed,Female,Gestalt Therapy,['Oromo'],"['Thursday', 'Monday', 'Tuesday', 'Saturday', 'Friday']","['Audio', 'Video']",17,"['Interpersonal Violence', 'BPD', 'Substance Use']"
35,Dr. Diriba Hassen,Male,Integrative Counselling,['English'],"['Saturday', 'Wednesday', 'Sunday', 'Monday', 'Friday']","['Video', 'Audio']",3,"['Eating Disorders', 'Mood Disorders', 'PTSD']"
36,Dr. Eden Abdullahi,Female,Integrative Counselling,['Amharic'],"['Tuesday', 'Friday', 'Monday', 'Wednesday', 'Sunday']","['Video', 'Audio']",5,"['Social Anxiety', 'Anxiety', 'Somatic Complaints']"
37,Dr. Elias Ibrahim,Male,Solution-Focused Brief Therapy (SFBT),['Tigrinya'],"['Wednesday', 'Saturday', 'Monday', 'Friday', 'Thursday']","['Video', 'Audio']",11,"['OCD', 'Test Anxiety', 'Adjustment Disorders']"
38,Dr. Elsabet Gebre,Male,Gestalt Therapy,['Oromo'],"['Wednesday', 'Tuesday', 'Saturday', 'Friday', 'Thursday']","['Audio', 'Video']",10,"['Trauma', 'Interpersonal Violence', 'Family Conflict']"
39,Dr. Emebet Mekonnen,Male,Cognitive Therapy,['English'],"['Monday', 'Friday', 'Tuesday', 'Saturday', 'Sunday']","['Video', 'Audio']",6,"['Substance Use', 'Somatic Complaints', 'Mood Disorders']"
40,Dr. Endale Abebe,Male,Psychoanalysis,['English'],"['Saturday', 'Tuesday', 'Thursday', 'Wednesday', 'Friday']","['Video', 'Audio']",16,"['Cultural Identity Stress', 'Grief and Loss', 'Depression']"
41,Dr. Ephrem Kebede,Male,Jungian Therapy,['Oromo'],"['Tuesday', 'Friday', 'Thursday', 'Sunday', 'Monday']","['Audio', 'Video']",17,"['Sleep Disorders', 'Loneliness', 'ADHD']"
42,Dr. Eshetu Demissie,Female,Jungian Therapy,['Tigrinya'],"['Wednesday', 'Friday', 'Saturday', 'Sunday', 'Tuesday']","['Video', 'Audio']",15,"['Eating Disorders', 'Mood Disorders', 'Panic Disorders']"
43,Dr. Fanta Worku,Male,Integrative Counselling,['Oromo'],"['Thursday', 'Saturday', 'Sunday', 'Friday', 'Tuesday']","['Video', 'Audio']",15,"['ADHD', 'Stress', 'Grief and Loss']"
44,Dr. Fatuma Girma,Male,Narrative Therapy,['Oromo'],"['Sunday', 'Monday', 'Wednesday', 'Friday', 'Saturday']","['Audio', 'Video']",14,"['Grief and Loss', 'Generalized Anxiety Disorder (GAD)', 'Academic Burnout']"
45,Dr. Feker Tesfaye,Male,Schema Therapy,['Oromo'],"['Tuesday', 'Sunday', 'Wednesday', 'Thursday', 'Friday']","['Audio', 'Video']",3,"['Family Conflict', 'OCD', 'Trauma']"
46,Dr. Fikadu Hailu,Female,Cognitive Therapy,['Tigrinya'],"['Friday', 'Tuesday', 'Sunday', 'Wednesday', 'Saturday']","['Audio', 'Video']",4,"['BPD', 'Self-Esteem Issues', 'Somatic Complaints']"
47,Dr. Fikre Fekadu,Male,Psychoanalysis,['Oromo'],"['Sunday', 'Friday', 'Thursday', 'Tuesday', 'Monday']","['Audio', 'Video']",9,"['Trauma', 'Financial Stress', 'Mood Disorders']"
48,Dr. Fitsum Assefa,Female,Mindfulness-Based Cognitive Therapy (MBCT),['Amharic'],"['Friday', 'Wednesday', 'Saturday', 'Sunday', 'Thursday']","['Video', 'Audio']",4,"['Stress', 'Eating Disorders', 'Substance Use']"
49,Dr. Gadisa Getachew,Male,Dialectical Behavior Therapy (DBT),['Tigrinya'],"['Monday', 'Saturday', 'Sunday', 'Thursday', 'Tuesday']","['Video', 'Audio']",5,"['Trauma', 'Cultural Identity Stress', 'Grief and Loss']"
50,Dr. Galata Berhanu,Male,Existential Psychotherapy,['English'],"['Friday', 'Tuesday', 'Thursday', 'Monday', 'Sunday']","['Video', 'Audio']",16,"['Panic Disorders', 'PTSD', 'OCD']"
51,Dr. Gebeyehu Mohammed,Female,Person-Centred Therapy,['Amharic'],"['Monday', 'Tuesday', 'Wednesday', 'Sunday', 'Friday']","['Audio', 'Video']",4,"['Stress', 'Panic Disorders', 'Substance Use']"
52,Dr. Gedion Tadesse,Female,Adlerian Therapy,['Oromo'],"['Thursday', 'Tuesday', 'Sunday', 'Monday', 'Wednesday']","['Video', 'Audio']",11,"['Family Conflict', 'Stress', 'Somatic Complaints']"
